Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal"
224,"Bear, grizzly (Ursus arctos horribilis)Yellowstone DPS",DM,"$281,570","$891,570,631"
225,"Caracara, Audubon's crested (Polyborus plancus audubonii)FL pop.",T,"$276,401","$891,847,032"
226,"Butterfly, Lange's metalmark (Apodemia mormo langei)",E,"$273,249","$892,120,281"
227,"Butterfly, Oregon silverspot (Speyeria zerene hippolyta)",T,"$269,336","$892,389,617"
228,"Pimpleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",E,"$269,295","$892,658,912"
229,"Butterfly, Palos Verdes blue (Glaucopsyche lygdamus palosverdesensis)",E,"$266,654","$892,925,566"
230,"Whale, blue (Balaenoptera musculus)",E,"$265,613","$893,191,179"
231,"Trout, greenback cutthroat (Oncorhynchus clarki stomias)",T,"$264,472","$893,455,651"
232,"Elepaio, Oahu (Chasiempis sandwichensis ibidis)",E,"$263,045","$893,718,696"
233,"Butterfly, El Segundo blue (Euphilotes battoides allyni)",E,"$256,854","$893,975,550"
234,"Fairy shrimp, San Diego (Branchinecta sandiegonensis)",E,"$256,711","$894,232,261"
235,Ohai (Sesbania tomentosa),E,"$254,859","$894,487,120"
236,"Spinymussel, James (Pleurobema collina)",E,"$254,332","$894,741,452"
237,"Cactus, star (Astrophytum asterias)",E,"$254,200","$894,995,652"
238,"Mouse, salt marsh harvest (Reithrodontomys raviventris)",E,"$251,637","$895,247,289"
239,A`e (Zanthoxylum hawaiiense),E,"$249,302","$895,496,591"
240,"Squirrel, Mount Graham red (Tamiasciurus hudsonicus grahamensis)",E,"$246,100","$895,742,691"
241,"Minnow, Devils River (Dionda diaboli)",T,"$245,000","$895,987,691"
242,"Snail, Utah valvata (Valvata utahensis)",E,"$244,902","$896,232,593"
243,"Snail, Bliss Rapids (Taylorconcha serpenticola)",T,"$244,545","$896,477,138"
244,"Barberry, Nevin's (Berberis nevinii)",E,"$243,633","$896,720,771"
245,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriami parvus)",E,"$232,004","$896,952,775"
246,"Sheep, bighorn (Ovis canadensis)Peninsular CA pop.",E,"$231,189","$897,183,964"
247,Mahoe (Alectryon macrococcus),E,"$228,645","$897,412,609"
248,Silene lanceolata (=Sci name),E,"$227,502","$897,640,111"
249,Spermolepis hawaiiensis (=Sci name),E,"$227,102","$897,867,213"
250,Silene hawaiiensis (=Sci name),T,"$226,952","$898,094,165"
251,Mehamehame (Flueggea neowawraea),E,"$226,845","$898,321,010"
