TABLE 3. REPORTED LAND ACQUISITION EXPENDITURES FOR FY 2007 FOR ENDANGERED AND THREATENEDSPECIES,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
95,"Crane, whooping (Grus americana)U.S.A. (CO, ID, FL, NM, UT, and the westernhalf of Wyoming)",EXPN,$0 ,"$17,300 ","$17,300 ",$0 ,"$17,300 ",Birds
9,"Eagle, bald (Haliaeetus leucocephalus)lower 48 States",DM,$0 ,"$1,153,912 ","$1,153,912 ","$2,112,000 ","$3,265,912 ",Birds
38,"Eider, spectacled (Somateria fischeri)",T,"$610,300 ",$0 ,"$610,300 ",$0 ,"$610,300 ",Birds
37,"Eider, Steller's (Polysticta stelleri)AK breeding pop.",T,"$627,300 ",$0 ,"$627,300 ",$0 ,"$627,300 ",Birds
76,"Falcon, northern aplomado (Falco femoralisseptentrionalis)",E,"$103,200 ",$0 ,"$103,200 ",$0 ,"$103,200 ",Birds
4,"Flycatcher, southwestern willow (Empidonaxtraillii extimus)",E,$0 ,"$6,330,232 ","$6,330,232 ","$48,381 ","$6,378,613 ",Birds
82,"Gnatcatcher, coastal California (Polioptilacalifornica californica)",T,"$62,900 ",$0 ,"$62,900 ",$0 ,"$62,900 ",Birds
100,"Jay, Florida scrub (Aphelocomacoerulescens)",T,"$10,900 ",$0 ,"$10,900 ",$0 ,"$10,900 ",Birds
17,"Owl, northern spotted (Strix occidentaliscaurina)",T,$0 ,$0 ,$0 ,"$2,000,000 ","$2,000,000 ",Birds
54,"Pelican, brown (Pelecanus occidentalis)except U.S. Atlantic coast, FL, AL",E,"$284,700 ",$0 ,"$284,700 ",$0 ,"$284,700 ",Birds
14,"Plover, piping (Charadrius melodus)except Great Lakes watershed",T,"$2,085,500 ","$184,000 ","$2,269,500 ",$0 ,"$2,269,500 ",Birds
55,"Stork, wood (Mycteria americana)AL, FL, GA, SC",E,"$80,200 ","$197,323 ","$277,523 ",$0 ,"$277,523 ",Birds
20,"Tern, least (Sterna antillarum)interior pop.",E,"$1,774,200 ","$184,000 ","$1,958,200 ",$0 ,"$1,958,200 ",Birds
49,"Tern, roseate (Sterna dougallii dougallii)northeast U.S. nesting pop.",E,"$440,000 ",$0 ,"$440,000 ",$0 ,"$440,000 ",Birds
72,"Vireo, black-capped (Vireo atricapilla)",E,$0 ,"$120,000 ","$120,000 ",$0 ,"$120,000 ",Birds
60,"Vireo, least Bell's (Vireo bellii pusillus)",E,"$62,900 ","$200,000 ","$262,900 ",$0 ,"$262,900 ",Birds
50,"Warbler (=wood), golden-cheeked (Dendroicachrysoparia)",E,"$103,200 ","$250,000 ","$353,200 ",$0 ,"$353,200 ",Birds
42,"Woodpecker, red-cockaded (Picoidesborealis)",E,"$319,000 ","$31,000 ","$350,000 ","$200,000 ","$550,000 ",Birds
